id,studyid,study_author,study_year,domain,substudy_author,substudy_year,outcome,treatment,n,d,r,source,n_win,study_name
267,4,Lau et al.,2007,Negative political campaigns,Bratcher,2001,Differential candidate affect,Ratings of tone,4476,0.08,0.039968038348871575,Table 1A,4476,Lau et al. (2007)
268,4,Lau et al.,2007,Negative political campaigns,Bratcher,2001,Differential candidate affect,Ratings of tone,4476,0.05,0.024992191160203066,Table 1A,4476,Lau et al. (2007)
269,4,Lau et al.,2007,Negative political campaigns,Brians and Wattenberg,1996,Memory of ad,Recall of exposure to television news and positive and negative ads during 1992 presidential campaign,1263,0.51,0.24709290725239563,Table 1A,1263,Lau et al. (2007)
270,4,Lau et al.,2007,Negative political campaigns,Brooks,2000,Actual turnout,Estimate of tone of election campaigns,33,0.24,0.11914522061843064,Table 1A,41,Lau et al. (2007)
271,4,Lau et al.,2007,Negative political campaigns,Brooks,2000,Actual turnout,Estimate of tone of election campaigns,2019,0.01,0.004999937501171851,Table 1A,2019,Lau et al. (2007)
272,4,Lau et al.,2007,Negative political campaigns,Brooks,2006,Actual turnout,Tone of 1992 Senate election campaigns,34,0.6,0.2873478855663454,Table 1A,41,Lau et al. (2007)
273,4,Lau et al.,2007,Negative political campaigns,Brooks and Geer,2007,Intention to vote in upcoming 2004 national election,Civil negative ads,1748,0.04,0.01999600119960014,Table 1A,1748,Lau et al. (2007)
274,4,Lau et al.,2007,Negative political campaigns,Brooks and Geer,2007,Intention to vote in upcoming 2004 national election,Uncivil negative ads,1748,0.09,0.0449545065814817,Table 1A,1748,Lau et al. (2007)
275,4,Lau et al.,2007,Negative political campaigns,Brooks and Geer,2007,Fairness and informativeness of ad,Civil negative ads,1748,0.14,0.06982912769991387,Table 1A,1748,Lau et al. (2007)
276,4,Lau et al.,2007,Negative political campaigns,Brooks and Geer,2007,Fairness and informativeness of ad,Uncivil negative ads,1748,0.51,0.24709290725239563,Table 1A,1748,Lau et al. (2007)
277,4,Lau et al.,2007,Negative political campaigns,Brooks and Geer,2007,External political efficacy,Civil negative ads,1748,0.11,0.05491700075713547,Table 1A,1748,Lau et al. (2007)
278,4,Lau et al.,2007,Negative political campaigns,Brooks and Geer,2007,External political efficacy,Uncivil negative ads,1748,0.05,0.024992191160203066,Table 1A,1748,Lau et al. (2007)
279,4,Lau et al.,2007,Negative political campaigns,Brooks and Geer,2007,Trust in government,Civil negative ads,1748,0.11,0.05491700075713547,Table 1A,1748,Lau et al. (2007)
280,4,Lau et al.,2007,Negative political campaigns,Brooks and Geer,2007,Trust in government,Uncivil negative ads,1748,0.05,0.024992191160203066,Table 1A,1748,Lau et al. (2007)
281,4,Lau et al.,2007,Negative political campaigns,Brooks and Geer,2007,Interest in campaign,Civil negative ads,1748,0.04,0.01999600119960014,Table 1A,1748,Lau et al. (2007)
282,4,Lau et al.,2007,Negative political campaigns,Brooks and Geer,2007,Interest in campaign,Uncivil negative ads,1748,0.05,0.024992191160203066,Table 1A,1748,Lau et al. (2007)
283,4,Lau et al.,2007,Negative political campaigns,Bullock,1994,Affect for target,Exposure to ads,451,1.4,0.5734623443633283,Table 1A,451,Lau et al. (2007)
284,4,Lau et al.,2007,Negative political campaigns,Bullock,1994,Affect for sponsor,Exposure to ads,451,1.52,0.6050832675335579,Table 1A,451,Lau et al. (2007)
285,4,Lau et al.,2007,Negative political campaigns,Bullock,1994,Vote intention,Exposure to ads,451,1.09,0.4785444994926194,Table 1A,451,Lau et al. (2007)
286,4,Lau et al.,2007,Negative political campaigns,Capella and Taylor,1992,Which candidate initiated negative ads,Author judgment of whether negative ad campaign worked,25,0.58,0.2785244502458322,Table 1A,41,Lau et al. (2007)
287,4,Lau et al.,2007,Negative political campaigns,Chang,2001,Differential liking of candidates,Positive or negative print ads,165,0.04,0.01999600119960014,Table 1A,165,Lau et al. (2007)
288,4,Lau et al.,2007,Negative political campaigns,Chang,2001,Memory of ads,Positive or negative print ads,165,0.9,0.41036467732879783,Table 1A,165,Lau et al. (2007)
289,4,Lau et al.,2007,Negative political campaigns,Chang,2003,Vote intention,Positive or negative print ads,754,0.05,0.024992191160203066,Table 1A,754,Lau et al. (2007)
290,4,Lau et al.,2007,Negative political campaigns,Chang,2003,Affect for target,Positive or negative print ads,754,0,0,Table 1A,754,Lau et al. (2007)
291,4,Lau et al.,2007,Negative political campaigns,Chang,2003,Affect for sponsor,Positive or negative print ads,754,0.04,0.01999600119960014,Table 1A,754,Lau et al. (2007)
292,4,Lau et al.,2007,Negative political campaigns,"Chang, Park, and Shim",1998,Affect for target,Prominent negative ad,297,0.92,0.41790560823214434,Table 1A,297,Lau et al. (2007)
293,4,Lau et al.,2007,Negative political campaigns,"Chang, Park, and Shim",1998,Affect for attacker,Prominent negative ad,297,0.67,0.31764972280836923,Table 1A,297,Lau et al. (2007)
294,4,Lau et al.,2007,Negative political campaigns,Chanslor,1995,Intended vote choice,Ads produced by incumbent,166,0.02,0.009999500037496877,Table 1A,166,Lau et al. (2007)
295,4,Lau et al.,2007,Negative political campaigns,Chanslor,1995,Affect for target,Ads produced by incumbent,166,0.31,0.15317095441319076,Table 1A,166,Lau et al. (2007)
296,4,Lau et al.,2007,Negative political campaigns,Chanslor,1995,Affect for sponsor,Ads produced by incumbent,166,0.7,0.33035042472810605,Table 1A,166,Lau et al. (2007)
297,4,Lau et al.,2007,Negative political campaigns,Clinton and Lapinski,2004,Intended turnout,Actual positive or negative ads,20000,0.03,0.014998312784712243,Table 1A,5382,Lau et al. (2007)
298,4,Lau et al.,2007,Negative political campaigns,Clinton and Lapinski,2004,Reported turnout,Actual positive or negative ads,20000,0.05,0.024992191160203066,Table 1A,5382,Lau et al. (2007)
299,4,Lau et al.,2007,Negative political campaigns,Clinton and Lapinski,2004,Reported turnout,Actual positive or negative ads,20000,0.07,0.034978582175618625,Table 1A,5382,Lau et al. (2007)
300,4,Lau et al.,2007,Negative political campaigns,Clinton and Lapinski,2004,Reported turnout,Actual positive or negative ads,20000,0.03,0.014998312784712243,Table 1A,5382,Lau et al. (2007)
301,4,Lau et al.,2007,Negative political campaigns,Clinton and Lapinski,2004,Reported turnout,Actual positive or negative ads,20000,0.01,0.004999937501171851,Table 1A,5382,Lau et al. (2007)
302,4,Lau et al.,2007,Negative political campaigns,Craig and Kane,2000,External political efficacy,Perceptions of negativism,613,0.04,0.01999600119960014,Table 1A,613,Lau et al. (2007)
303,4,Lau et al.,2007,Negative political campaigns,Craig and Kane,2000,Trust in government,Perceptions of negativism,613,0.08,0.039968038348871575,Table 1A,613,Lau et al. (2007)
304,4,Lau et al.,2007,Negative political campaigns,"Craig, Kane, and Gainous",2005,Knowledge of candidates issue positions,Perceptions of negativism,301,0.19,0.09457419252642066,Table 1A,301,Lau et al. (2007)
305,4,Lau et al.,2007,Negative political campaigns,"Crigler, Just, and Belt",2002,Intended turnout,Perceptions of tone,630,0.24,0.11914522061843064,Table 1A,630,Lau et al. (2007)
306,4,Lau et al.,2007,Negative political campaigns,"Crigler, Just, and Belt",2002,Intended vote choice,Perceptions of tone,630,0.11,0.05491700075713547,Table 1A,630,Lau et al. (2007)
307,4,Lau et al.,2007,Negative political campaigns,"Crigler, Just, and Belt",2002,Affect for sponsor of ads,Perceptions of tone,630,0.15,0.07478994824163424,Table 1A,630,Lau et al. (2007)
308,4,Lau et al.,2007,Negative political campaigns,Dermody and Scullion,2000,Recall of ad,Perceptions of positive and negative campaign posters,130,2.62,0.7948742310960631,Table 1A,130,Lau et al. (2007)
309,4,Lau et al.,2007,Negative political campaigns,Djupe and Peterson,2002,Turnout,Coding of tone of campaign,33,0.92,0.41790560823214434,Table 1A,41,Lau et al. (2007)
310,4,Lau et al.,2007,Negative political campaigns,Finkel and Geer,1998,Actual turnout,Proportion of negative ads,12252,0.01,0.004999937501171851,Table 1A,5382,Lau et al. (2007)
311,4,Lau et al.,2007,Negative political campaigns,Freedman and Goldstein,1999,Reported turnout,Negative ads seen,290,0.24,0.11914522061843064,Table 1A,290,Lau et al. (2007)
312,4,Lau et al.,2007,Negative political campaigns,Freedman and Goldstein,1999,Internal political efficacy,Negative ads seen,290,0.05,0.024992191160203066,Table 1A,290,Lau et al. (2007)
313,4,Lau et al.,2007,Negative political campaigns,"Freedman, Wood, and Lawton",1999,Intended turnout,Vignettes in which fictional candidates attack each other,NA,0.4,0.19611613513818402,Table 1A,NA,Lau et al. (2007)
314,4,Lau et al.,2007,Negative political campaigns,"Freedman, Wood, and Lawton",1999,Intended vote,Vignettes in which fictional candidates attack each other,NA,0.16,0.07974522228289,Table 1A,NA,Lau et al. (2007)
315,4,Lau et al.,2007,Negative political campaigns,Fridkin and Kenney,2004,Affect for target,Issue-based attack,6110,0.03,0.014998312784712243,Table 1A,5382,Lau et al. (2007)
316,4,Lau et al.,2007,Negative political campaigns,Fridkin and Kenney,2004,Affect for target,Character-based attack,6110,0.07,0.034978582175618625,Table 1A,5382,Lau et al. (2007)
317,4,Lau et al.,2007,Negative political campaigns,Fridkin and Kenney,2004,Affect for sponsor of ad,Issue-based attack,6110,0.01,0.004999937501171851,Table 1A,5382,Lau et al. (2007)
318,4,Lau et al.,2007,Negative political campaigns,Fridkin and Kenney,2004,Affect for sponsor of ad,Character-based attack,6110,0.05,0.024992191160203066,Table 1A,5382,Lau et al. (2007)
319,4,Lau et al.,2007,Negative political campaigns,Garand and Graddy,2001,Reported turnout,Senate campaigns,1074,0.05,0.024992191160203066,Table 1A,1074,Lau et al. (2007)
320,4,Lau et al.,2007,Negative political campaigns,Garramone et al.,1990,Differential affect,Exposure to various combinations and numbers of positive and negative biographical profiles and commercials,372,0.38,0.1866606458232702,Table 1A,372,Lau et al. (2007)
321,4,Lau et al.,2007,Negative political campaigns,Garramone et al.,1990,Intended turnout,Exposure to various combinations and numbers of positive and negative biographical profiles and commercials,372,0.18,0.08963769949589058,Table 1A,372,Lau et al. (2007)
322,4,Lau et al.,2007,Negative political campaigns,Geer,2006,Actual turnout,Proportion of negative ads,12,0.01,0.004999937501171851,Table 1A,41,Lau et al. (2007)
323,4,Lau et al.,2007,Negative political campaigns,Geer,2006,Trust in government,Proportion of negative ads,11,0,0,Table 1A,41,Lau et al. (2007)
324,4,Lau et al.,2007,Negative political campaigns,Geer,2006,Faith in elections,Proportion of negative ads,9,0.38,0.1866606458232702,Table 1A,41,Lau et al. (2007)
325,4,Lau et al.,2007,Negative political campaigns,Geer and Geer,2003,Memory for ad,Positive or negative radio ad,121,0.08,0.039968038348871575,Table 1A,121,Lau et al. (2007)
326,4,Lau et al.,2007,Negative political campaigns,Geer and Lau,2006,State-level turnout,Proportion of negative ads,90,0.12,0.059892290727946725,Table 1A,90,Lau et al. (2007)
327,4,Lau et al.,2007,Negative political campaigns,Globetti and Hetherington,2000,Trust in government,Anti-Congress rhetoric in all ads run by major party Senate candidates,420,0.02,0.009999500037496877,Table 1A,420,Lau et al. (2007)
328,4,Lau et al.,2007,Negative political campaigns,Globetti and Hetherington,2000,Approval of Congress,Anti-Congress rhetoric in all ads run by major party Senate candidates,420,0.19,0.09457419252642066,Table 1A,420,Lau et al. (2007)
329,4,Lau et al.,2007,Negative political campaigns,Goldstein,1997,County-level turnout,Negative ads,1588,0.27,0.13378637625248027,Table 1A,1588,Lau et al. (2007)
330,4,Lau et al.,2007,Negative political campaigns,Goldstein,1997,Reported turnout,Negative ads,879,0.09,0.0449545065814817,Table 1A,879,Lau et al. (2007)
331,4,Lau et al.,2007,Negative political campaigns,Goldstein,1997,Reported vote choice,Negative ads,879,0.08,0.039968038348871575,Table 1A,879,Lau et al. (2007)
332,4,Lau et al.,2007,Negative political campaigns,Goldstein,1997,External political efficacy,Negative ads,879,0.05,0.024992191160203066,Table 1A,879,Lau et al. (2007)
333,4,Lau et al.,2007,Negative political campaigns,Greenwald,2005,"Vote intention, competitive election",Number of positive and negative ads,NA,0.01,0.004999937501171851,Table 1A,NA,Lau et al. (2007)
334,4,Lau et al.,2007,Negative political campaigns,Greenwald,2005,"Vote intention, noncompetitive election",Number of positive and negative ads,NA,0.1,0.04993761694389223,Table 1A,NA,Lau et al. (2007)
335,4,Lau et al.,2007,Negative political campaigns,Haddock and Zanna,1997,Affect for attacker,Impressions of actual candidates,110,0.32,0.15799050110667284,Table 1A,110,Lau et al. (2007)
336,4,Lau et al.,2007,Negative political campaigns,Haddock and Zanna,1997,Affect for target,Impressions of actual candidates,110,0.35,0.1723803317522482,Table 1A,110,Lau et al. (2007)
337,4,Lau et al.,2007,Negative political campaigns,Hill,1989,Affect for attacker,Positive or negative ad,120,0.65,0.30908607233755814,Table 1A,120,Lau et al. (2007)
338,4,Lau et al.,2007,Negative political campaigns,Hill,1989,Affect for target,Positive or negative ad,120,0.13,0.06486312108268012,Table 1A,120,Lau et al. (2007)
339,4,Lau et al.,2007,Negative political campaigns,Hitchon and Chang,1995,Affect for attacker,"Exposure to positive, neutral, and negative ads",75,0.81,0.37538236771963934,Table 1A,75,Lau et al. (2007)
340,4,Lau et al.,2007,Negative political campaigns,Hitchon and Chang,1995,Memory for ads,"Exposure to positive, neutral, and negative ads",75,0.58,0.2785244502458322,Table 1A,75,Lau et al. (2007)
341,4,Lau et al.,2007,Negative political campaigns,"Hitchon, Chang, and Harris",1997,Affect for attacker,"Exposure to positive, neutral, and negative ads",72,0.8,0.37139067635410367,Table 1A,72,Lau et al. (2007)
342,4,Lau et al.,2007,Negative political campaigns,Houston and Doan,1999,Intended turnout,Exposure to positive or negative ads,173,0.21,0.10442593000399553,Table 1A,173,Lau et al. (2007)
343,4,Lau et al.,2007,Negative political campaigns,Houston and Doan,1999,Affect for target,Exposure to positive or negative ads,173,0.23,0.11424702291443903,Table 1A,173,Lau et al. (2007)
344,4,Lau et al.,2007,Negative political campaigns,Houston and Doan,1999,Affect for attacker,Exposure to positive or negative ads,173,0.51,0.24709290725239563,Table 1A,173,Lau et al. (2007)
345,4,Lau et al.,2007,Negative political campaigns,Houston and Doan,1999,Differential affect,Exposure to positive or negative ads,173,0.16,0.07974522228289,Table 1A,173,Lau et al. (2007)
346,4,Lau et al.,2007,Negative political campaigns,"Houston, Doan, and Roskos-Ewoldsen",1999,Affect for target of ads,Exposure to positive or negative campaign ads,77,0.26,0.12891523025462093,Table 1A,77,Lau et al. (2007)
347,4,Lau et al.,2007,Negative political campaigns,"Houston, Doan, and Roskos-Ewoldsen",1999,Affect for target of ads,Exposure to positive or negative campaign ads,68,0.4,0.19611613513818402,Table 1A,68,Lau et al. (2007)
348,4,Lau et al.,2007,Negative political campaigns,"Houston, Doan, and Roskos-Ewoldsen",1999,Affect for attacker,Exposure to positive or negative campaign ads,77,0.55,0.2651564830210424,Table 1A,77,Lau et al. (2007)
349,4,Lau et al.,2007,Negative political campaigns,"Houston, Doan, and Roskos-Ewoldsen",1999,Affect for attacker,Exposure to positive or negative campaign ads,68,0.36,0.17715299831526515,Table 1A,68,Lau et al. (2007)
350,4,Lau et al.,2007,Negative political campaigns,"Houston, Doan, and Roskos-Ewoldsen",1999,Vote intention,Exposure to positive or negative campaign ads,77,0.55,0.2651564830210424,Table 1A,77,Lau et al. (2007)
351,4,Lau et al.,2007,Negative political campaigns,"Houston, Doan, and Roskos-Ewoldsen",1999,Vote intention,Exposure to positive or negative campaign ads,68,0.56,0.2696299255199709,Table 1A,68,Lau et al. (2007)
352,4,Lau et al.,2007,Negative political campaigns,Iida,2005,Candidate knowledge,Categorization of 1992 Senate election campaigns,1307,0.03,0.014998312784712243,Table 1A,1307,Lau et al. (2007)
353,4,Lau et al.,2007,Negative political campaigns,Jackson and Carsey,2007,Reported turnout,Number of positive and negative ads,550,0.22,0.1093404791528976,Table 1A,550,Lau et al. (2007)
354,4,Lau et al.,2007,Negative political campaigns,Jackson and Carsey,2007,Reported turnout,Number of positive and negative ads,28362,0.09,0.0449545065814817,Table 1A,5382,Lau et al. (2007)
355,4,Lau et al.,2007,Negative political campaigns,"Jackson, Mondak, and Huckfeldt",2005,Internal efficacy,"2002 House, Senate, and gubernatorial campaigns",1219,0.05,0.024992191160203066,Table 1A,1219,Lau et al. (2007)
356,4,Lau et al.,2007,Negative political campaigns,"Jackson, Mondak, and Huckfeldt",2005,External efficacy,"2002 House, Senate, and gubernatorial campaigns",1219,0.02,0.009999500037496877,Table 1A,1219,Lau et al. (2007)
357,4,Lau et al.,2007,Negative political campaigns,"Jackson, Mondak, and Huckfeldt",2005,Affect for government (Congress),"2002 House, Senate, and gubernatorial campaigns",1219,0.08,0.039968038348871575,Table 1A,1219,Lau et al. (2007)
358,4,Lau et al.,2007,Negative political campaigns,Jackson and Sides,2006,Reported turnout,Tone of up to five ads,2003,0.07,0.034978582175618625,Table 1A,2003,Lau et al. (2007)
359,4,Lau et al.,2007,Negative political campaigns,Jasperson and Fan,2002,Affect for target,Tone of each ad aired by Wellstone and Boschwitz in 1996 Minnesota Senate race,NA,0.1,0.04993761694389223,Table 1A,NA,Lau et al. (2007)
360,4,Lau et al.,2007,Negative political campaigns,Jasperson and Fan,2002,Affect for attacker,Tone of each ad aired by Wellstone and Boschwitz in 1996 Minnesota Senate race,NA,0.07,0.034978582175618625,Table 1A,NA,Lau et al. (2007)
361,4,Lau et al.,2007,Negative political campaigns,Kahn and Geer,1994,Affect for attacker,One negative ads,209,0.28,0.13864784453440623,Table 1A,209,Lau et al. (2007)
362,4,Lau et al.,2007,Negative political campaigns,Kahn and Geer,1994,Affect for attacker,Two negative ads,209,0.74,0.3470088817920543,Table 1A,209,Lau et al. (2007)
363,4,Lau et al.,2007,Negative political campaigns,Kahn and Kenney,2004,Reported turnout,"Tone of ads, negative tone",NA,0.08,0.039968038348871575,Table 1A,NA,Lau et al. (2007)
364,4,Lau et al.,2007,Negative political campaigns,Kahn and Kenney,2004,Reported turnout,"Tone of ads, mudslinging",NA,0.1,0.04993761694389223,Table 1A,NA,Lau et al. (2007)
365,4,Lau et al.,2007,Negative political campaigns,Kahn and Kenney,2004,Affect for target,Tone of ads,6110,0.06,0.029986509105671005,Table 1A,5382,Lau et al. (2007)
366,4,Lau et al.,2007,Negative political campaigns,Kahn and Kenney,2004,"Affect for sponsor of ads, incumbents",Tone of ads,6110,0.05,0.024992191160203066,Table 1A,5382,Lau et al. (2007)
367,4,Lau et al.,2007,Negative political campaigns,Kahn and Kenney,2004,"Affect for sponsor of ads, challengers",Tone of ads,6110,0.03,0.014998312784712243,Table 1A,5382,Lau et al. (2007)
368,4,Lau et al.,2007,Negative political campaigns,Kahn and Kenney,2004,Correct identification of campaign themes employed by candidates,"Tone of ads, negative tone",6110,0.14,0.06982912769991387,Table 1A,5382,Lau et al. (2007)
369,4,Lau et al.,2007,Negative political campaigns,Kahn and Kenney,2004,Correct identification of campaign themes employed by candidates,"Tone of ads, mudslinging",6110,0.09,0.0449545065814817,Table 1A,5382,Lau et al. (2007)
370,4,Lau et al.,2007,Negative political campaigns,Kahn and Kenney,2004,Campaign interest,"Tone of ads, negative tone",NA,0.01,0.004999937501171851,Table 1A,NA,Lau et al. (2007)
371,4,Lau et al.,2007,Negative political campaigns,Kahn and Kenney,2004,Campaign interest,"Tone of ads, mudslinging",NA,0.08,0.039968038348871575,Table 1A,NA,Lau et al. (2007)
372,4,Lau et al.,2007,Negative political campaigns,Kaid,1997,Vote intention,Exposure to actual ads,116,1.77,0.6627354451579867,Table 1A,116,Lau et al. (2007)
373,4,Lau et al.,2007,Negative political campaigns,Kaid,1997,Affect for target,Exposure to actual ads,116,0.68,0.3219027332387024,Table 1A,116,Lau et al. (2007)
374,4,Lau et al.,2007,Negative political campaigns,Kaid,1997,Affect for attacker,Exposure to actual ads,116,0.28,0.13864784453440623,Table 1A,116,Lau et al. (2007)
375,4,Lau et al.,2007,Negative political campaigns,Kaid and Boydston,1987,Affect for target of ads,One of five actual ads used by congressional candidate from another district,428,0.36,0.17715299831526515,Table 1A,428,Lau et al. (2007)
376,4,Lau et al.,2007,Negative political campaigns,"Kaid, Chanslor, and Hovind",1992,Vote intention,Exposure to different types of actual political ads,283,2.4,0.7682212795973759,Table 1A,283,Lau et al. (2007)
377,4,Lau et al.,2007,Negative political campaigns,"Kaid, Chanslor, and Hovind",1992,Affect for attacker,Exposure to different types of actual political ads,283,2.05,0.7157819483772107,Table 1A,283,Lau et al. (2007)
378,4,Lau et al.,2007,Negative political campaigns,"Kaid, Chanslor, and Hovind",1992,Memory for ad,Exposure to different types of actual political ads,283,1.15,0.49847112425808277,Table 1A,283,Lau et al. (2007)
379,4,Lau et al.,2007,Negative political campaigns,"Kaid, Leland, and Whitney",1992,Memory for ads,Exposure to positive and negative ads,112,0.3,0.14834045293024462,Table 1A,112,Lau et al. (2007)
380,4,Lau et al.,2007,Negative political campaigns,King and Hendersen,1999,Affect for attacker,Exposure to a positive or negative ad,111,0,0,Table 1A,111,Lau et al. (2007)
381,4,Lau et al.,2007,Negative political campaigns,King and Hendersen,1999,Affect for target,Exposure to a positive or negative ad,111,0,0,Table 1A,111,Lau et al. (2007)
382,4,Lau et al.,2007,Negative political campaigns,"King, Hendersen, and Chen",1998,Liking for sponsor of ads,Exposure to single positive or negative ad,137,0.32,0.15799050110667284,Table 1A,137,Lau et al. (2007)
383,4,Lau et al.,2007,Negative political campaigns,"King, Hendersen, and Chen",1998,Liking for target of ads,Exposure to single positive or negative ad,137,0.31,0.15317095441319076,Table 1A,137,Lau et al. (2007)
384,4,Lau et al.,2007,Negative political campaigns,"King, Hendersen, and Chen",1998,Vote intention,Exposure to single positive or negative ad,137,0.23,0.11424702291443903,Table 1A,137,Lau et al. (2007)
385,4,Lau et al.,2007,Negative political campaigns,"King, Hendersen, and Chen",1998,Memory for Ads,Exposure to single positive or negative ad,137,0.4,0.19611613513818402,Table 1A,137,Lau et al. (2007)
386,4,Lau et al.,2007,Negative political campaigns,King and McConnell,2003,Vote intention,Negative advertisements,121,0.34,0.16759549393386897,Table 1A,121,Lau et al. (2007)
387,4,Lau et al.,2007,Negative political campaigns,King and McConnell,2003,Affect for target,Negative advertisements,121,0.35,0.1723803317522482,Table 1A,121,Lau et al. (2007)
388,4,Lau et al.,2007,Negative political campaigns,King and McConnell,2003,Affect for attacker,Negative advertisements,121,0.39,0.19139505140335558,Table 1A,121,Lau et al. (2007)
389,4,Lau et al.,2007,Negative political campaigns,Landi,2004,"Turnout, aggregate","Tone of U.S. Senate election campaigns,",190,0.09,0.0449545065814817,Table 1A,190,Lau et al. (2007)
390,4,Lau et al.,2007,Negative political campaigns,Landi,2004,"Turnout, individual-level","Tone of U.S. Senate election campaigns,",NA,0.02,0.009999500037496877,Table 1A,NA,Lau et al. (2007)
391,4,Lau et al.,2007,Negative political campaigns,Lang,1991,Memory for ads,Exposure to 8 randomly selected positive and negative ads,67,0.83,0.3833033430492955,Table 1A,67,Lau et al. (2007)
392,4,Lau et al.,2007,Negative political campaigns,Lau and Pomper,2004,Actual election outcomes,Incumbent negativism,191,0.64,0.30477572710378376,Table 1A,191,Lau et al. (2007)
393,4,Lau et al.,2007,Negative political campaigns,Lau and Pomper,2004,Reported vote choice,Incumbent negativism,6238,0.12,0.059892290727946725,Table 1A,5382,Lau et al. (2007)
394,4,Lau et al.,2007,Negative political campaigns,Lau and Pomper,2004,Actual election outcomes,Campaign negativism,191,0.07,0.034978582175618625,Table 1A,191,Lau et al. (2007)
395,4,Lau et al.,2007,Negative political campaigns,Lau and Pomper,2004,Reported vote choice,Campaign negativism,6238,0.01,0.004999937501171851,Table 1A,5382,Lau et al. (2007)
396,4,Lau et al.,2007,Negative political campaigns,Lau and Pomper,2004,External political efficacy,Campaign negativism,6238,0.01,0.004999937501171851,Table 1A,5382,Lau et al. (2007)
397,4,Lau et al.,2007,Negative political campaigns,Lau and Pomper,2004,Trust in government,Campaign negativism,6238,0,0,Table 1A,5382,Lau et al. (2007)
398,4,Lau et al.,2007,Negative political campaigns,Lau and Redlawsk,2005,Affect for target,Positive or negative ads,407,0.04,0.01999600119960014,Table 1A,407,Lau et al. (2007)
399,4,Lau et al.,2007,Negative political campaigns,Lau and Redlawsk,2005,Affect for attacker,Positive or negative ads,407,0.09,0.0449545065814817,Table 1A,407,Lau et al. (2007)
400,4,Lau et al.,2007,Negative political campaigns,Lau and Redlawsk,2005,Differential affect,Positive or negative ads,407,0.05,0.024992191160203066,Table 1A,407,Lau et al. (2007)
401,4,Lau et al.,2007,Negative political campaigns,Lau and Redlawsk,2005,Vote choice,Positive or negative ads,407,0.06,0.029986509105671005,Table 1A,407,Lau et al. (2007)
402,4,Lau et al.,2007,Negative political campaigns,Lau and Redlawsk,2005,Memory for ads,Positive or negative ads,407,0.39,0.19139505140335558,Table 1A,407,Lau et al. (2007)
403,4,Lau et al.,2007,Negative political campaigns,Lawton and Freedman,2001,Turnout,Exposure to fair and unfair ads,873,0.21,0.10442593000399553,Table 1A,873,Lau et al. (2007)
404,4,Lau et al.,2007,Negative political campaigns,Lemert et al.,1991,Likelihood of voting for Bush or Dukakis,Respondents reflecting on positive or negative ad,1256,0.24,0.11914522061843064,Table 1A,1256,Lau et al. (2007)
405,4,Lau et al.,2007,Negative political campaigns,Lemert et al.,1991,Type of ad recalled,Respondents reflecting on positive or negative ad,1256,0.25,0.12403473458920847,Table 1A,1256,Lau et al. (2007)
406,4,Lau et al.,2007,Negative political campaigns,"Lemert,Wanta, and Lee",1999,Vote choice,Recall of positive or negative ad,308,0.87,0.39889375923790543,Table 1A,308,Lau et al. (2007)
407,4,Lau et al.,2007,Negative political campaigns,"Lemert,Wanta, and Lee",1999,Turnout,Recall of positive or negative ad,308,0.13,0.06486312108268012,Table 1A,308,Lau et al. (2007)
408,4,Lau et al.,2007,Negative political campaigns,Leshner and Thorson,2000,Turnout,Perceptions of whether campaign was too negative,393,0.04,0.01999600119960014,Table 1A,393,Lau et al. (2007)
409,4,Lau et al.,2007,Negative political campaigns,Leshner and Thorson,2000,Public mood,Perceptions of whether campaign was too negative,393,0.36,0.17715299831526515,Table 1A,393,Lau et al. (2007)
410,4,Lau et al.,2007,Negative political campaigns,Leshner and Thorson,2000,Trust in government,Perceptions of whether campaign was too negative,393,0.28,0.13864784453440623,Table 1A,393,Lau et al. (2007)
411,4,Lau et al.,2007,Negative political campaigns,Luskin and Bratcher,1994,Turnout,Campaign negativism,125,0.12,0.059892290727946725,Table 1A,125,Lau et al. (2007)
412,4,Lau et al.,2007,Negative political campaigns,Martin,1999,Collective awareness,Campaign tone,1021,0.12,0.059892290727946725,Table 1A,1021,Lau et al. (2007)
413,4,Lau et al.,2007,Negative political campaigns,Martin,2004,Awareness of problems facing country,Negative ads shown in media market,522,0.15,0.07478994824163424,Table 1A,522,Lau et al. (2007)
414,4,Lau et al.,2007,Negative political campaigns,Martinez and Delegal,1990,Trust in government,Exposure to negative ads,131,0.14,0.06982912769991387,Table 1A,131,Lau et al. (2007)
415,4,Lau et al.,2007,Negative political campaigns,Martinez and Delegal,1990,Affect for attacker,Exposure to negative ads,131,0.28,0.13864784453440623,Table 1A,131,Lau et al. (2007)
416,4,Lau et al.,2007,Negative political campaigns,Martinez and Delegal,1990,Affect for target,Exposure to negative ads,131,0.48,0.23337295247532416,Table 1A,131,Lau et al. (2007)
417,4,Lau et al.,2007,Negative political campaigns,Mathews and Dietz-Uhler,1998,Affect toward sponsor,Exposure to positive or negative family values ad,125,0.52,0.25163385176495073,Table 1A,125,Lau et al. (2007)
418,4,Lau et al.,2007,Negative political campaigns,Mathews and Dietz-Uhler,1998,Likelihood of voting for attacker,Exposure to positive or negative family values ad,125,0.62,0.29609877111408056,Table 1A,125,Lau et al. (2007)
419,4,Lau et al.,2007,Negative political campaigns,"McBride, Toburen, and Thomas",1993,Intended turnout,Exposure to four negative ads,223,0.12,0.059892290727946725,Table 1A,223,Lau et al. (2007)
